epoch,lr,train/bc,train/bc_accuracy,train/bc_f1,train/bc_precision,train/bc_recall,train/reg_mae,train/reg_mse,train/reg_rmse,train/regression,train/total_loss,train/vector_avg_l2,train/vector_mae,train/vector_mse,train/vector_regression,train/vector_rmse,train/weight/bc,train/weight/regression,train/weight/vector_regression,val/bc,val/bc_accuracy,val/bc_f1,val/bc_precision,val/bc_recall,val/reg_mae,val/reg_mse,val/reg_rmse,val/regression,val/total_loss,val/vector_avg_l2,val/vector_mae,val/vector_mse,val/vector_regression,val/vector_rmse,val/weight/bc,val/weight/regression,val/weight/vector_regression
1.0,0.001,0.44474319479608193,0.7908262849707222,0.392823418319169,0.35800344234079173,0.4351464435146444,0.05116652755736917,0.004756698136182445,0.06896882002892644,0.0023783490680912224,0.5046623978392987,0.313760059371858,0.050305047715533485,0.0047996770333277915,0.0575408571355515,0.06927970145235754,1.0,1.0,1.0,1.4020138533718616,0.0,0.0,0.0,0.0,0.03466183090784464,0.001464370054652892,0.03826708840051581,0.0007321850282615088,1.949285012172408,1.036683959654536,0.1041386698782843,0.04554491221824963,0.546538947815876,0.2134125399742237,1.0,1.0,1.0
2.0,0.0009984602081996976,0.23622581718650706,0.8659726740403383,0.5059952038369304,0.5926966292134831,0.44142259414225943,0.029062611440520202,0.0014107850432958243,0.03756041857189326,0.0007053925216479121,0.257162208487713,0.1919587851834725,0.02993026764059663,0.0016859902176335495,0.020230994863398057,0.0410608112149961,1.0,1.0,1.0,1.3546624183654785,0.28413654618473894,0.4425332290852228,1.0,0.28413654618473894,0.030858312026563896,0.0013507157264943104,0.03675208465508195,0.0006753578648835151,1.8448505818125713,0.9782650422858425,0.10205478361811504,0.040792735226183055,0.48951282367170096,0.20197211497180262,1.0,1.0,1.0
3.0,0.0009938503261272714,0.2139081700545025,0.876057254391672,0.6147623862487361,0.5949119373776908,0.6359832635983264,0.024002295467340878,0.0009440219994887671,0.030724941000574227,0.00047201099974438355,0.22983037604524395,0.1671281859691925,0.026090179019936276,0.0012876159488717262,0.015450196346739475,0.03588336590778137,1.0,1.0,1.0,2.965296071217242,0.09939759036144578,0.18082191780821918,1.0,0.09939759036144578,0.04614441390018387,0.0036723261407340863,0.06059972063247558,0.0018361630713021062,3.4115079157802475,0.9287500572970593,0.10941563520725153,0.03703137063277933,0.44437568051269255,0.19243536741664546,1.0,1.0,1.0
4.0,0.0009861987752386395,0.20013112488409374,0.8906961613532857,0.6283185840707964,0.6666666666666666,0.5941422594142259,0.022507394681561668,0.0008473982122558895,0.029110104985312052,0.00042369910612794474,0.21386661750634692,0.15531809351378126,0.02423365700497713,0.0011093702728395686,0.01331179274916261,0.03330721052324209,1.0,1.0,1.0,5.068690985560896,0.0893574297188755,0.1640552995391705,1.0,0.0893574297188755,0.03717113474765456,0.002693741264412681,0.05190126457431149,0.0013468706322063405,5.479582608464253,0.8826874192938747,0.1136214755465547,0.03412948395194139,0.4095448523640154,0.1847416681529681,1.0,1.0,1.0
5.0,0.0009755527298894294,0.18661170792520512,0.9056603773584906,0.7111553784860557,0.6787072243346007,0.7468619246861925,0.019579793298077724,0.0006294599560513716,0.025089040556612992,0.0003147299780256858,0.19802465919276763,0.1415836476871279,0.02193881525754799,0.0009249249502587021,0.01109822247620907,0.03041257881631714,1.0,1.0,1.0,7.094263967261257,0.14056224899598393,0.24647887323943662,1.0,0.14056224899598393,0.0365423488329692,0.002405135955915872,0.04904218547246719,0.0012025679816981875,7.5204689339940325,0.8961868745734892,0.11619419266421153,0.03541815647957634,0.42500242195933696,0.18819712133711383,1.0,1.0,1.0
6.0,0.0009619778264893878,0.17572616941368882,0.905985686402082,0.7011375387797311,0.6932515337423313,0.7092050209205021,0.017133445752252598,0.00047673561942636984,0.021834276251489763,0.00023836780971318492,0.18654176036335854,0.13739976114783356,0.021231297860980488,0.0008813128760565617,0.010577223853255994,0.02968691422254192,1.0,1.0,1.0,9.323681295157437,0.09236947791164658,0.1691176470588235,1.0,0.09236947791164658,0.04398473438967663,0.003404249986970281,0.05834595090467102,0.0017021249981604546,9.726174994166117,0.8673988863167513,0.11052496653484054,0.03339935912983804,0.40079179286478034,0.18275491547380618,1.0,1.0,1.0
7.0,0.0009455577588320898,0.1734196796926028,0.9108653220559532,0.7181069958847737,0.7064777327935222,0.7301255230125523,0.01588019069645338,0.00041634800187439314,0.02040460736878789,0.00020817400093719657,0.18295914380676032,0.12911883676227115,0.01993535997719788,0.0007775762613180087,0.009331290854326532,0.02788505444351882,1.0,1.0,1.0,10.629731277864142,0.1465863453815261,0.2556917688266199,1.0,0.1465863453815261,0.033727546293572726,0.0021147273301360117,0.04598616455126489,0.0010573636608602233,11.018126889883753,0.8521074118863148,0.10506138935625314,0.032278764359603127,0.38733850461412145,0.17966291871057624,1.0,1.0,1.0
8.0,0.0009263937620948692,0.15647584551559954,0.9225764476252439,0.770712909441233,0.7142857142857143,0.8368200836820083,0.01453414105155209,0.00034858199921372987,0.018670350805856054,0.00017429099960686493,0.1654992167405886,0.12525411824806673,0.019226084771916035,0.0007374054325370765,0.00884908131246801,0.027155210044061094,1.0,1.0,1.0,10.318259848169534,0.20281124497991967,0.337228714524207,1.0,0.20281124497991967,0.038141596987544296,0.0027462813300061896,0.05240497428685744,0.0013731406668732204,10.683509041506603,0.8251430404234124,0.10641099426800626,0.030323023776931458,0.36387628041596776,0.17413507336815137,1.0,1.0,1.0
9.0,0.0009046039886902864,0.15751306003383916,0.9206245933636955,0.7520325203252033,0.7312252964426877,0.7740585774058577,0.013128058862476746,0.0002843283922843988,0.016862039979919356,0.0001421641961421994,0.16603916501487007,0.12226135326248593,0.018807427005770413,0.0006985976774997041,0.008383939726788383,0.026430998420409777,1.0,1.0,1.0,11.524669371455548,0.20481927710843373,0.34,1.0,0.20481927710843373,0.03282669030997648,0.002082537739990227,0.04563483033813347,0.001041268866254862,11.883298517709756,0.811916198117666,0.10286327219073232,0.029799277843082127,0.3575877735174325,0.17262467333229664,1.0,1.0,1.0
10.0,0.0008803227798172156,0.14547445584832652,0.9290826284970722,0.7939508506616257,0.7241379310344828,0.8786610878661087,0.012162905084617585,0.00023854667495821984,0.015444956295121713,0.00011927333747910992,0.15345832211054528,0.11807469082889899,0.018150235924012898,0.000655379410693346,0.007864590743938358,0.02560037911229726,1.0,1.0,1.0,13.749569946503543,0.16164658634538154,0.27830596369922217,1.0,0.16164658634538154,0.035994243909077475,0.0024780908592015385,0.04978042646664991,0.0012390454314708949,14.110919266819476,0.8123984126202074,0.10463427220642008,0.03000920651906944,0.3601104776303931,0.1732316556495072,1.0,1.0,1.0
