phase,status,batch_size,lr,model_size,batch_norm,train_samples,train_batches,train_seconds,samples_per_sec,steps_per_sec,peak_mem_gb,train_loss_mean,val_loss_mean,error
batch,ok,256,0.001,medium,False,32768,128,61.0394310541451,536.8333130584574,2.0970051291345992,0.019794940948486328,0.6657150313258171,nan,
batch,ok,512,0.001,medium,False,32768,64,61.15157448872924,535.8488358470545,1.0465797575137783,0.02080059051513672,0.7368988581001759,nan,
batch,ok,1024,0.001,medium,False,32768,32,61.32195836678147,534.3599727198316,0.5218359108592105,0.02311420440673828,0.8128165286034346,nan,
batch,ok,2048,0.001,medium,False,32768,16,60.88780842721462,538.1701336675784,0.26277838557987226,0.02836132049560547,0.8966567069292068,nan,
batch,ok,4096,0.001,medium,False,32768,8,60.88967027142644,538.1536778558803,0.1313851752577833,0.038855552673339844,0.9710734710097313,nan,
batch,ok,8192,0.001,medium,False,32768,4,60.92349046468735,537.8549349366823,0.06565611998738798,0.059844017028808594,1.0062363147735596,nan,
hyper,ok,1024,0.0001,small,False,24576,24,46.06396355852485,533.5190049109839,0.5210146532333827,0.018660545349121094,1.004157359401385,0.8661411345005036,
hyper,ok,1024,0.0003,small,False,24576,24,45.80211725085974,536.5690818482565,0.523993243992438,0.018660545349121094,0.9677217230200768,0.8049725949764251,
hyper,ok,1024,0.001,small,False,24576,24,45.745340660214424,537.2350417618424,0.5246435954705492,0.018660545349121094,0.8646481807033221,0.7102144062519073,
hyper,ok,1024,0.0001,small,True,24576,24,46.000434789806604,534.2558198046833,0.521734199028011,0.01923513412475586,2.520854244629542,0.9508013069629669,
hyper,ok,1024,0.0003,small,True,24576,24,45.97268070653081,534.5783544118794,0.522049174230351,0.01923513412475586,1.9547513872385025,0.8933193385601044,
hyper,ok,1024,0.001,small,True,24576,24,46.01171042770147,534.1248949789955,0.5216063427529253,0.01923513412475586,1.3000432675083478,0.8033860445022583,
hyper,ok,1024,0.0001,medium,False,24576,24,45.51375298947096,539.9686553136005,0.527313139954688,0.02311420440673828,1.0110139672954876,0.893800699710846,
hyper,ok,1024,0.0003,medium,False,24576,24,45.18921610713005,543.8465659979073,0.5311001621073314,0.02311420440673828,0.9678692097465197,0.7842214405536652,
hyper,ok,1024,0.001,medium,False,24576,24,45.27292202040553,542.8410383788138,0.5301182015418103,0.02311420440673828,0.8440193633238474,0.693455821275711,
hyper,ok,1024,0.0001,medium,True,24576,24,45.05280630663037,545.4932115157314,0.5327082143708315,0.024566173553466797,2.1490922272205353,0.9268245875835419,
hyper,ok,1024,0.0003,medium,True,24576,24,45.07186842337251,545.2625076278366,0.5324829176053092,0.024566173553466797,1.5501972312728565,0.8573236465454102,
hyper,ok,1024,0.001,medium,True,24576,24,44.95840169861913,546.6386497622053,0.5338268064084036,0.024566173553466797,1.025226856271426,0.829291296005249,
hyper,ok,1024,0.0001,large,False,24576,24,44.929168190807104,546.9943243914421,0.5341741449135177,0.03408193588256836,0.9528565009435018,0.7617195963859558,
hyper,ok,1024,0.0003,large,False,24576,24,45.001167953014374,546.1191590773766,0.5333194912865006,0.03408193588256836,0.8539612392584482,0.7023365736007691,
hyper,ok,1024,0.001,large,False,24576,24,44.86659351363778,547.7572081002719,0.5349191485354218,0.03408193588256836,0.7715730716784795,0.6439526200294494,
hyper,ok,1024,0.0001,large,True,24576,24,45.10437696054578,544.8695150250585,0.5320991357666587,0.03697490692138672,1.5397340084115665,0.8758303165435791,
hyper,ok,1024,0.0003,large,True,24576,24,45.04673894867301,545.5666841500401,0.5327799649902736,0.03697490692138672,1.064341274400552,0.8801690816879273,
hyper,ok,1024,0.001,large,True,24576,24,45.045098315924406,545.586554781963,0.5327993699042607,0.03697490692138672,0.8783237064878145,0.7488417387008667,
